delay	freq	condition	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	polygon.started	polygon_2.started	key_resp.started	polygon.stopped	key_resp.keys	key_resp.rt	sound_1.started	text.started	textbox.started	button.started	textbox.text	button.numClicks	button.timesOn	button.timesOff	sound_1.stopped	participant	session	date	expName	psychopyVersion	frameRate
0.4	1000	exp	0	0	0	4	22.4697342	23.4065781	23.4065781	23.4726672	space	2.1753838	26.00117557	26.4498134	26.4498134	26.4498134	200	1	[14.757660900009796]	[14.757675100001507]		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.7	1000	exp	0	1	1	11	41.0609115	42.0602896	42.0602896	42.0762818	space	1.3725338	44.15745847	44.4682403	44.4682403	44.4682403	300	2	"[14.757660900009796, 3.497444099979475]"	"[14.757675100001507, 3.4974542999989353]"	44.4682403	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.4	1000	exp	0	2	2	10	47.9513862	48.9491166	48.9491166	48.9653525	space	1.8038318	51.17935087	51.4905102	51.4905102	51.4905102	150	3	"[14.757660900009796, 3.497444099979475, 4.328392499999609]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.7	1000	exp	0	3	3	8	55.8051083	56.8032402	56.8032402	56.8199181	space	2.5399157	60.06580967	60.380063	60.380063	60.380063	200	4	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.4	1000	exp	0	4	4	7	64.2916857	65.2910444	65.2910444	65.3075604	space	1.9561013	67.67073877	67.9827399	67.9827399	67.9827399	50	5	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919]"	67.9827399	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.4	400	unexp	0	5	5	1	78.7361047	79.7353913	79.7353913	79.751736	space	1.5025851	81.66573707	81.9758883	81.9758883	81.9758883	0	6	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913]"	81.9758883	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.7	400	unexp	0	6	6	2	88.704498	89.7034874	89.7034874	89.7204739	space	2.0925791	92.51606547	92.8279677	92.8279677	92.8279677	150	7	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116]"	92.8279677	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.1	1000	exp	0	7	7	3	102.6660631	103.6647071	103.6647071	103.6647071	space	1.5693326	105.3623748	105.6730422	105.6730422	105.6730422	0	8	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636]"	105.6730422	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.1	1000	exp	0	8	8	6	108.8735155	109.8725095	109.8725095	109.8890219	space	1.6124088	111.6030247	111.9125085	111.9125085	111.9125085	0	9	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354]"	111.9125085	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.1	400	unexp	0	9	9	0	115.3959146	116.3952858	116.3952858	116.3952858	space	0.7297177	117.2437105	117.5520262	117.5520262	117.5520262	50	10	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.7	1000	exp	0	10	10	5	118.9741021	119.9731177	119.9731177	119.9906478	space	3.3807183	124.0836925	124.3959953	124.3959953	124.3959953	200	11	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829]"	124.3959953	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.1	1000	exp	0	11	11	9	129.2743008	130.2737848	130.2737848	130.2737848	space	3.0895521	133.4856742	133.7990771	133.7990771	133.7990771	0	12	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.4	400	unexp	1	0	12	1	135.9148569	136.913226	136.913226	136.9310922	space	0.8537095	138.1950827	138.5063225	138.5063225	138.5063225	50	13	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965, 2.9275343000190333]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771, 2.9275459999917075]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.4	1000	exp	1	1	13	10	141.422745	142.4219643	142.4219643	142.4384619	space	1.0245462	143.8696225	144.1829297	144.1829297	144.1829297	50	14	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965, 2.9275343000190333, 3.095291699981317]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771, 2.9275459999917075, 3.0953026000061072]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.7	1000	exp	1	2	14	8	147.264107	148.2622883	148.2622883	148.2788822	space	0.6775588	149.6606073	149.9730399	149.9730399	149.9730399	200	15	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965, 2.9275343000190333, 3.095291699981317, 3.1331795000005513]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771, 2.9275459999917075, 3.0953026000061072, 3.1331902000238188]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.1	400	unexp	1	3	15	0	153.1034559	154.0854366	154.0854366	154.1187704	space	1.9976545	156.2006297	156.5129818	156.5129818	156.5129818	0	16	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965, 2.9275343000190333, 3.095291699981317, 3.1331795000005513, 4.370795299997553]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771, 2.9275459999917075, 3.0953026000061072, 3.1331902000238188, 4.37080109998351]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.1	1000	exp	1	4	16	3	160.874716	161.8740093	161.8740093	161.8740093	space	0.8914666	162.8900008	163.1977519	163.1977519	163.1977519	0	17	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965, 2.9275343000190333, 3.095291699981317, 3.1331795000005513, 4.370795299997553, 2.834529699990526]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771, 2.9275459999917075, 3.0953026000061072, 3.1331902000238188, 4.37080109998351, 2.834541000018362]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.7	400	unexp	1	5	17	2	166.0334372	167.0171295	167.0171295	167.0334717	space	0.6559156	168.3985785	168.715603	168.715603	168.715603	150	18	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965, 2.9275343000190333, 3.095291699981317, 3.1331795000005513, 4.370795299997553, 2.834529699990526, 15.936578599968925]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771, 2.9275459999917075, 3.0953026000061072, 3.1331902000238188, 4.37080109998351, 2.834541000018362, 15.93658909999067]"	168.715603	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.7	1000	exp	1	6	18	5	184.6393879	185.6380179	185.6380179	185.6553079	space	0.8720071	187.2366985	187.5497004	187.5497004	187.5497004	200	19	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965, 2.9275343000190333, 3.095291699981317, 3.1331795000005513, 4.370795299997553, 2.834529699990526, 15.936578599968925, 3.8224124999833293]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771, 2.9275459999917075, 3.0953026000061072, 3.1331902000238188, 4.37080109998351, 2.834541000018362, 15.93658909999067, 3.8224197999807075]"	187.5497004	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.4	1000	exp	1	7	19	4	191.36167	192.3605909	192.3605909	192.3771748	space	0.8476011	193.626768	193.9383551	193.9383551	193.9383551	30	20	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965, 2.9275343000190333, 3.095291699981317, 3.1331795000005513, 4.370795299997553, 2.834529699990526, 15.936578599968925, 3.8224124999833293, 9.164043600030709]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771, 2.9275459999917075, 3.0953026000061072, 3.1331902000238188, 4.37080109998351, 2.834541000018362, 15.93658909999067, 3.8224197999807075, 9.164055700006429]"	193.9383551	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.4	1000	exp	1	8	20	7	203.094404	204.093154	204.093154	204.1108378	space	1.7467187	206.2568401	206.5722222	206.5722222	206.5722222	100	21	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965, 2.9275343000190333, 3.095291699981317, 3.1331795000005513, 4.370795299997553, 2.834529699990526, 15.936578599968925, 3.8224124999833293, 9.164043600030709, 3.7241023000096902]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771, 2.9275459999917075, 3.0953026000061072, 3.1331902000238188, 4.37080109998351, 2.834541000018362, 15.93658909999067, 3.8224197999807075, 9.164055700006429, 3.724114099983126]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.7	1000	exp	1	9	21	11	210.2833635	211.2825391	211.2825391	211.2989877	space	0.8843541	212.8941895	213.1997903	213.1997903	213.1997903	150	22	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965, 2.9275343000190333, 3.095291699981317, 3.1331795000005513, 4.370795299997553, 2.834529699990526, 15.936578599968925, 3.8224124999833293, 9.164043600030709, 3.7241023000096902, 6.361510700022336]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771, 2.9275459999917075, 3.0953026000061072, 3.1331902000238188, 4.37080109998351, 2.834541000018362, 15.93658909999067, 3.8224197999807075, 9.164055700006429, 3.724114099983126, 6.36152169998968]"	213.1997903	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.1	1000	exp	1	10	22	9	219.5521414	220.5510646	220.5510646	220.567781	space	0.7069032	221.3832023	221.69216	221.69216	221.69216	0	23	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965, 2.9275343000190333, 3.095291699981317, 3.1331795000005513, 4.370795299997553, 2.834529699990526, 15.936578599968925, 3.8224124999833293, 9.164043600030709, 3.7241023000096902, 6.361510700022336, 2.296456500014756]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771, 2.9275459999917075, 3.0953026000061072, 3.1331902000238188, 4.37080109998351, 2.834541000018362, 15.93658909999067, 3.8224197999807075, 9.164055700006429, 3.724114099983126, 6.36152169998968, 2.29646819998743]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.1	1000	exp	1	11	23	6	223.9786283	224.9779907	224.9779907	224.9779907	space	0.6283718	225.7267458	226.0370108	226.0370108	226.0370108	0	24	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965, 2.9275343000190333, 3.095291699981317, 3.1331795000005513, 4.370795299997553, 2.834529699990526, 15.936578599968925, 3.8224124999833293, 9.164043600030709, 3.7241023000096902, 6.361510700022336, 2.296456500014756, 2.074573500023689]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771, 2.9275459999917075, 3.0953026000061072, 3.1331902000238188, 4.37080109998351, 2.834541000018362, 15.93658909999067, 3.8224197999807075, 9.164055700006429, 3.724114099983126, 6.36152169998968, 2.29646819998743, 2.074584699992556]"	226.0370108	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.7	1000	exp	2	0	24	5	228.105455	229.1045865	229.1045865	229.1213823	space	0.7977676	230.6190931	230.9310959	230.9310959	230.9310959	200	25	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965, 2.9275343000190333, 3.095291699981317, 3.1331795000005513, 4.370795299997553, 2.834529699990526, 15.936578599968925, 3.8224124999833293, 9.164043600030709, 3.7241023000096902, 6.361510700022336, 2.296456500014756, 2.074573500023689, 2.814022600010503]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771, 2.9275459999917075, 3.0953026000061072, 3.1331902000238188, 4.37080109998351, 2.834541000018362, 15.93658909999067, 3.8224197999807075, 9.164055700006429, 3.724114099983126, 6.36152169998968, 2.29646819998743, 2.074584699992556, 2.8140333000337705]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.4	400	unexp	2	1	25	1	233.7456862	234.7294617	234.7294617	234.7460143	space	1.2431225	236.3933976	236.6975642	236.6975642	236.6975642	100	26	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965, 2.9275343000190333, 3.095291699981317, 3.1331795000005513, 4.370795299997553, 2.834529699990526, 15.936578599968925, 3.8224124999833293, 9.164043600030709, 3.7241023000096902, 6.361510700022336, 2.296456500014756, 2.074573500023689, 2.814022600010503, 6.455469599983189]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771, 2.9275459999917075, 3.0953026000061072, 3.1331902000238188, 4.37080109998351, 2.834541000018362, 15.93658909999067, 3.8224197999807075, 9.164055700006429, 3.724114099983126, 6.36152169998968, 2.29646819998743, 2.074584699992556, 2.8140333000337705, 6.455479299998842]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.4	1000	exp	2	2	26	4	243.1483689	244.1482864	244.1482864	244.1482864	space	0.7539839	245.3298835	245.6416267	245.6416267	245.6416267	100	27	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965, 2.9275343000190333, 3.095291699981317, 3.1331795000005513, 4.370795299997553, 2.834529699990526, 15.936578599968925, 3.8224124999833293, 9.164043600030709, 3.7241023000096902, 6.361510700022336, 2.296456500014756, 2.074573500023689, 2.814022600010503, 6.455469599983189, 9.664939899987075]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771, 2.9275459999917075, 3.0953026000061072, 3.1331902000238188, 4.37080109998351, 2.834541000018362, 15.93658909999067, 3.8224197999807075, 9.164055700006429, 3.724114099983126, 6.36152169998968, 2.29646819998743, 2.074584699992556, 2.8140333000337705, 6.455479299998842, 9.664949800004251]"	245.6416267	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
